,text
0,All the people blaming BJP in the comments when congress was in power decades and did nothing😂😂😂
1,Are in debt but walking around with the latest iPhone. These people just don&#39;t know how to manage or save up money and/or made bad choices like going to a more expensive school instead of a cheaper school that gives the same degree. College is overrated any ways. Ill go to a mechanic with no school that has 30 years experience than a College graduate with little to no real world experience. After high school I went to work straight into the oil field and after 12 years of working my way up the ladder  I am at 63$/ hr.
2,An old adage I always go by is homeless people are usually homeless for a reason
3,Isn’t the CAPTAIN supposed to be the very LAST soul off the ship?!? Wtf!!! This animal was the very first?!?
4,"My parents are still married, never hit me or my brother, and gave us an upper-middle class upbringing. <br><br>They&#39;ve been cut off from 98% of their parents, siblings, nieces/nephews and children. <br><br>Verbal abuse and emotional abuse and mental abuse are just as damaging as physical abuse."
5,My girlfriend of six years broke up with me last week. I’m 23. What you described is exactly what I’m going through. You’re not alone.
6,"this situation wouldnt be that worst if rescue was sent at the very beginning when the ferry already tilted half , they couldve save everyone but instead the captain ran and the authorities kept on asking for updates and report. literally how do they sleep at night ? took them months and years to take action when it couldve done sooner and no one wouldve died !"
7,On top of this employers that are hiring are getting slammed with hundred to thousands of AI slop resumes.
8,"I&#39;m 24 already own my house and have zero debt. I wasn&#39;t indoctrinated in my youth and said no to college. I&#39;m not on social media, Tiktok, have no friends, or a girlfriend. The main issue I see with zoomers is their inability to focus, lack of work ethic, and just the sense that everything should be handed to them. The world fucking sucks it will rip you apart both mentally and physically. We have this idea in the west that you&#39;re supposed to be comfortable. That you&#39;re not supposed to suffer, but this is fundamentally wrong. One day the student asks his master it&#39;s terribly hot how do I escape the heat? The master responds by going right to the bottom of the furnace. The student then asks but how do I escape the scorching flames? The master simply says no farther pain will harass. You must never turn away from suffering the only solution is to go right into it."
9,"All those hurt feelings came back while I watched your vid. I didn&#39;t know then, but I am now single and SAFE......I know now how to stop the abuse, thank you!!"
10,While they charge me up the wazoo when I start bitmining and coin minting..Yeah Government hates competition
11,"Wow, well so, I was abused by both of my parents. I mean, my dad was a prick and kick us out of our house, (mom, 2 sisters and me) but I never knew my mother was an abusive too untill I started college. She is my biggest influence and I love her, but she created the biggest part of my insecurities and low self-esteem."
12,"@Nightversionn You know you are being hypocritical right now. You are refusing to address my question and continue to pursue something other than talking about the science. I asked you a simple question about the basis of the theory of global warming. Your nonsense about multi-account holders has nothing to do with the science that I&#39;d like to discuss with you. How about YOU STICK TO THE SCIENCE AND PRACTICE WHAT YOU PREACH!!! Address the science, and answer my question you hypocrite."
13,Simple its the government taxing the middle class left right and center
